,SNP_top,SNP_bottom
Cap_Policy_Beta,0.0024587517780024688,0.002415929976979622
Cap_pvalue,0.1705830294648153,0.20415119143394497
Debt_Policy_Beta,0.0011764562392931146,0.0015847039999897913
Debt_pvalue,0.5891355421757476,0.4305723962707654
Eintensity_Policy_Beta,0.002084104745305836,0.001687263404848336
Eintensity_pvalue,0.29853360111841853,0.36748578884197625
Elevel_Policy_Beta,0.002335858304061898,0.0015547302184979275
Elevel_pvalue,0.22874742298341907,0.3980150826604263
Escore_Policy_Beta,0.0021772260030034378,0.002018594242485944
Escore_pvalue,0.26013093702985735,0.2933489155822758
Pillarscore_Policy_Beta,0.002062481992119218,0.001806970813490358
Pillarscore_pvalue,0.27512073030459666,0.35086798599162383
