,SNP_top,SNP_bottom
Cap_Policy_Beta,0.027702224507447856,0.02931920942432202
Cap_pvalue,0.0013001870096892377,0.0013191047720518495
Debt_Policy_Beta,0.019904652584336886,0.025028526403871376
Debt_pvalue,0.06022568952623708,0.009947080074962335
Eintensity_Policy_Beta,0.021627274721237166,0.02458765744270536
Eintensity_pvalue,0.02629421450131681,0.0064670141805628235
Elevel_Policy_Beta,0.019210430405637642,0.02432889647502763
Elevel_pvalue,0.04207941469915867,0.006073292999737455
Escore_Policy_Beta,0.02740429294687947,0.026960541330326347
Escore_pvalue,0.0032323040259158685,0.003547717886130294
Pillarscore_Policy_Beta,0.02860668666502109,0.026775617699160655
Pillarscore_pvalue,0.0016028763504008304,0.004080438197802177
