date,Year,Month,Energy,Materials,Industrials,Consumer_Discretionary,Consumer_Staples,Health_Care,Financials,Information_Technology,Communication_Services,Utilities ,Real_Estate,CPU,CPU_old,EPU_advanced,EPU,Mkt_RF,SMB,HML,RF,MOM,LIQ,CPI_simple,%CPI_simple,CPI_seasonal_adjusted,%CPI_seasonal_adjusted,Nominal_Broad_Dollar_Index,%Nominal_Broad_Dollar_Index
Jan-10,2010,1,0.021,0.0123,0.0221,0.0079,-0.0066,0.0209,0.0283,0.01,-0.0429,-0.0157,#DIV/0!,110.484442,182.71,149,137,-3.36,0.4,0.43,0,-5.4,0.11378268,216.687,0.003417474,217.488,0.000648732,92.4403,0.001969464
Feb-10,2010,2,-0.0443,-0.0593,-0.0193,-0.0069,-0.0001,-0.0217,-0.0377,-0.0472,-0.0519,-0.0479,#DIV/0!,62.89395715,104.32,133,117,3.4,1.19,3.23,0,3.74,0.03157493,216.741,0.000249207,217.281,-0.000951777,93.8867,0.015646855
Mar-10,2010,3,0.0268,0.0672,0.0814,0.0865,0.0368,0.0254,0.0923,0.0642,0.0304,0.0188,#DIV/0!,78.89089656,75.35,137,125,6.31,1.48,2.21,0.01,3.76,0.03053079,217.631,0.004106284,217.353,0.000331368,93.1499,-0.007847757
Apr-10,2010,4,0.046,0.0379,0.0624,0.0716,0.0077,-0.0121,0.0618,0.0466,0.014,0.0166,#DIV/0!,106.3566412,119.41,137,124,2,4.87,2.89,0.01,3.16,-0.05484737,218.009,0.001736885,217.403,0.000230041,92.6391,-0.005483634
May-10,2010,5,-0.0762,-0.0902,-0.0527,-0.0455,-0.0336,-0.0612,-0.0772,-0.0672,-0.0341,-0.0307,#DIV/0!,160.3571125,87.88,151,148,-7.89,0.09,-2.44,0.01,-0.25,-0.01802842,218.178,0.000775197,217.29,-0.000519772,95.5306,0.031212523
Jun-10,2010,6,-0.043,-0.0426,-0.0586,-0.0405,-0.0253,-0.0256,-0.0522,-0.0301,0.0039,-0.0134,#DIV/0!,133.244876,87.43,141,130,-5.57,-1.82,-4.7,0.01,-2.76,0.01636845,217.965,-0.000976267,217.199,-0.000418795,96.0606,0.005547961
Jul-10,2010,7,-0.0084,0.0154,-0.0028,-0.0308,0.0133,-0.0095,-0.004,-0.0042,0.0124,0.0357,#DIV/0!,101.4714332,121.03,180,197,6.93,0.22,-0.33,0.01,1.88,0.00060572,218.011,0.000211043,217.605,0.001869254,94.4547,-0.016717572
Aug-10,2010,8,0.0182,0.0366,0.022,0.0165,0.0104,0.0101,-0.016,-0.0141,0.06,0.0241,#DIV/0!,117.5594535,83.01,147,127,-4.77,-2.98,-1.93,0.01,-0.06,0.02650621,218.312,0.001380664,217.923,0.001461363,93.6822,-0.008178524
Sep-10,2010,9,0.0176,0.0471,0.0346,0.05,0.0289,0.032,0.0242,0.0333,0.0547,0.0197,#DIV/0!,130.1349564,116.33,182,187,9.54,3.97,-3.18,0.01,1.41,0.08245388,218.439,0.000581736,218.275,0.001615249,92.7626,-0.009816166
Oct-10,2010,10,0.0737,0.0546,0.0478,0.0559,0.0299,0.0368,0.0079,0.0694,0.0252,0.0172,#DIV/0!,111.2400513,96.35,163,155,3.88,1.19,-2.51,0.01,1.58,-0.05002035,218.711,0.001245199,219.035,0.003481846,90.2291,-0.027311654
