Source,,,Capital IQ Pro,,,,,,,,,,,Economic Policy Uncertainty Index,Economic Policy Uncertainty Index,,,Kenneth R. French - Data Library (dartmouth.edu),Kenneth R. French - Data Library (dartmouth.edu),Kenneth R. French - Data Library (dartmouth.edu),Kenneth R. French - Data Library (dartmouth.edu),Kenneth R. French - Data Library (dartmouth.edu),faculty.chicagobooth.edu/-/media/faculty/lubos-pastor/data/liq_data_1962_2022.txt,https://data.bls.gov/pdq/SurveyOutputServlet,https://data.bls.gov/pdq/SurveyOutputServlet,https://fred.stlouisfed.org/series/CPIAUCSL#0,https://fred.stlouisfed.org/series/CPIAUCSL#0,https://www.federalreserve.gov/datadownload/Download.aspx?rel=H10&series=d896a0d00241604bbbfab3d292c873c8&filetype=csv&label=include&layout=seriescolumn&from=12/01/2009&to=12/31/2021,
date,Year,Month,S&P 500 Energy (Sector) Price Return-Index Value (monthly),S&P 500 Materials (Sector) Price Return-Index Value (monthly),S&P 500 Industrials (Sector) Price Return-Index Value (monthly),S&P 500 Consumer Discretionary (Sector) Price Return-Index Value (monthly),S&P 500 Consumer Staples (Sector) Price Return-Index Value (monthly),S&P 500 Health Care (Sector) Price Return-Index Value (monthly),S&P 500 Financials Price Return-Index Value (monthly),S&P 500 Information Technology (Sector) Price Return-Index Value (monthly),S&P 500 Communication Services (Sector) Price Return-Index Value (monthly),S&P 500 Utilities (Sector) Price Return-Index Value (monthly),S&P 500 Real Estate Price Return-Index Value (monthly),cpu_index,old_cpu_index,Three_Component_Index,News_Based_Policy_Uncert_Index,Mkt-RF,SMB,HML,RF,Mom,Innov Liq (eq8),CPI (not seasonnally adjusted),%CPI (not seasonnally adjusted),Seasonnally adjusted CPI,%Seasonnally adjusted CPI,Nominal Broad Dollar Index,%Nominal Broad Dollar Index
déc.-09,2009,12,"428,7096566","198,1750358","244,8581902","233,2713388","276,9636266","362,642313","193,61101","362,0489513","113,9616812","158,1262066",0,"108,599606","240,6",121,108,"2,75","6,04","-0,17","0,01","3,01","-0,00078306","215,949","-0,001761198169","217,347","0,0005201763996","92,2586",0
janv.-10,2010,1,"437,7197399","200,6131566","250,2782878","235,1073108","275,1397573","370,235349","199,0838372","365,6808376","109,0770476","155,6421281",0,"110,484442","182,71",149,137,"-3,36","0,4","0,43",0,"-5,4","0,11378268","216,687","0,00341747357","217,488","0,0006487322116","92,4403","0,001969464093"
févr.-10,2010,2,"418,3278378","188,7222545","245,458766","233,4896775","275,1201028","362,2013911","191,5832822","348,4321841","103,4149139","148,1813577",0,"62,89395715","104,32",133,117,"3,4","1,19","3,23",0,"3,74","0,03157493","216,741","0,0002492073821","217,281","-0,0009517766497","93,8867","0,01564685532"
mars-10,2010,3,"429,5278035","201,4125515","265,4305153","253,6874693","285,2496874","371,4093906","209,2664914","370,7960391","106,5606279","150,968457",0,"78,89089656","75,35",137,125,"6,31","1,48","2,21","0,01","3,76","0,03053079","217,631","0,004106283537","217,353","0,0003313681362","93,1499","-0,007847756924"
avr.-10,2010,4,"449,2922413","209,0483017","282,0016861","271,859796","287,4356422","366,9316786","222,19457","388,0805529","108,0480014","153,4781035",0,"106,3566412","119,41",137,124,2,"4,87","2,89","0,01","3,16","-0,05484737","218,009","0,001736884911","217,403","0,0002300405331","92,6391","-0,005483634443"
mai-10,2010,5,"415,061258","190,1932224","267,1374601","259,4800592","277,7749762","344,464945","205,0337433","362,001354","104,3599966","148,7598796",0,"160,3571125","87,88",151,148,"-7,89","0,09","-2,44","0,01","-0,25","-0,01802842","218,178","0,0007751973542","217,29","-0,0005197720363","95,5306","0,03121252257"
juin-10,2010,6,"397,2331936","182,0861511","251,4706725","248,96955","270,7573679","335,6435648","194,3268521","351,0992586","104,7631975","146,7694964",0,"133,244876","87,43",141,130,"-5,57","-1,82","-4,7","0,01","-2,76","0,01636845","217,965","-0,0009762670847","217,199","-0,0004187951585","96,0606","0,005547960549"
juil.-10,2010,7,"393,9051952","184,8988077","250,7772776","241,3130327","274,3518533","332,4495332","193,5556181","349,6214153","106,0622969","152,0082516",0,"101,4714332","121,03",180,197,"6,93","0,22","-0,33","0,01","1,88","0,00060572","218,011","0,0002110430574","217,605","0,001869253542","94,4547","-0,01671757203"
août-10,2010,8,"401,0766926","191,6702718","256,2877146","245,293964","277,2180565","335,7908074","190,4675775","344,6814625","112,4286139","155,6677369",0,"117,5594535","83,01",147,127,"-4,77","-2,98","-1,93","0,01","-0,06","0,02650621","218,312","0,001380664278","217,923","0,00146136348","93,6822","-0,008178523673"
