date,Year,Month,Energy,Materials,Industrials,Consumer_Discretionary,Consumer_Staples,Health_Care,Financials,Information_Technology,Communication_Services,Utilities,Real_Estate,CPU,CPU_old,EPU_advanced,EPU,Mkt_RF,SMB,HML,RF,MOM,LIQ,SCPI_simple,CCPI_simple,SCPI_seasonal_adjusted,CCPI_seasonal_adjusted,SNominal_Broad_Dollar_Index,CNominal_Broad_Dollar_Index,LGCPU,LGCPU_old,DIVCPU,DIVCPU_old,DIVLGCPU,DIVLGCPU_old,RCPU,RCPU_old,ACPU,ACPU_old,AEnergy,AMaterials,AIndustrials,AConsumer_Discretionary,AConsumer_Staples,AHealth_Care,AFinancials,AInformation_Technology,ACommunication_Services,AUtilities,AReal_Estate,MEnergy,MMaterials,MIndustrials,MConsumer_Discretionary,MConsumer_Staples,MHealth_Care,MFinancials,MInformation_Technology,MCommunication_Services,MUtilities,EnergyXMaterials,EnergyXIndustrials,EnergyXConsumer_Discretionary,EnergyXConsumer_Staples,EnergyXHealth_Care,EnergyXFinancials,EnergyXInformation_Technology,EnergyXCommunication_Services,EnergyXUtilities,EnergyCap,MaterialsCap,IndustrialsCap,Consumer_DiscretionaryCap,Consumer_StaplesCap,Health_CareCap,FinancialsCap,Information_TechnologyCap,Communication_ServicesCap,UtilitiesCap,Error_Term,AEnvPU,EnvPU,Energy_top,Energy_bottom,Materials_top,Materials_bottom,Industrials_top,Industrials_bottom,Consumer_Discretionary_top,Consumer_Discretionary_bottom,Consumer_Staples_top,Consumer_Staples_bottom,Health_Care_top,Health_Care_bottom,Financials_top,Financials_bottom,Information_Technology_top,Information_Technology_bottom,Communication_Services_top,Communication_Services_bottom,Utilities_top,Utilities_bottom
Jan-10,2010,1,2.101675,1.230287,2.213566,0.787054,-0.658523,2.093809,2.826713,1.003148,-4.286207,-1.570947,#DIV/0!,1.735583,-24.060682,23.21236,26.262723,-3.36,0.4,0.43,0,-5.4,0.113783,21668.7,0.341747,21748.8,0.064873,9244.03,0.196946,14.80391,85.820204,0.017356,-0.240607,0.148039097,0.858202039,1.884836,-57.89,110.484442,182.71,428.7096566,198.1750358,244.8581902,233.2713388,276.9636266,362.642313,193.61101,362.0489513,113.9616812,158.1262066,0,5.490696685,0.278321012,2.899211827,4.173038534,0.98658747,4.134324801,3.518885975,1.548187094,-0.368917261,-0.695532975,1.7082803,0.9494522,2.670306,-3.1914982,1.0037568,0.7435049,2.0950797,-0.4903345,-1.3378395,0.192287827,5.348983095,1.165882874,1.350824737,1.529191899,0.955251548,0.885619337,1.075289518,1.527283087,0.315280568,-11.15966801,157,-39.13026979,1.01752468,5.291674977,-1.035154433,-0.193523594,3.513890018,3.013930555,3.564391425,2.638677932,1.09378879,0.71527242,2.242190071,2.347224744,2.884101321,3.256592533,1.307772121,1.216204659,-4.050468667,-2.65207459,-0.298088738,-0.945471329
Feb-10,2010,2,-4.43021,-5.927279,-1.925665,-0.68804,-0.007143,-2.16996,-3.767536,-4.71686,-5.190949,-4.793542,#DIV/0!,-43.074377,-42.904056,-11.087786,-14.717041,3.4,1.19,3.23,0,3.74,0.031575,21674.1,0.024921,21728.1,-0.095178,9388.67,1.564686,1.735583,-24.060682,-0.430744,-0.429041,0.017355827,-0.240606816,-47.59048485,-78.39,62.89395715,104.32,437.7197399,200.6131566,250.2782878,235.1073108,275.1397573,370.235349,199.0838372,365.6808376,109.0770476,155.6421281,0,-4.329710714,-4.831075526,-2.18909999,0.111420358,0.142759919,-1.271031412,-2.227602145,-4.218227892,-1.113991955,-4.363537068,-0.3545767,-1.0914022,-3.0545826,-294.2286154,-0.9685317,-0.5578381,-0.4455665,-0.404873,-0.4384388,1.402120098,0.797161678,1.522500548,4.005627752,-6.781870198,1.151220556,1.218371829,1.107699303,1.239666843,0.843968884,-56.40684044,159,0.908363657,-5.6953336,-4.0619442,-4.09341295,-5.134984612,-2.870571676,-1.885432278,1.5234032,0.380315719,-1.69301669,0.249638616,-2.733959,-2.374835115,-3.252850989,-2.669834374,-5.547161957,-5.007822918,-5.198002733,-4.19306426,-3.904001088,-4.625764243
Mar-10,2010,3,2.677318,6.724325,8.136499,8.6504,3.681877,2.542232,9.230038,6.418424,3.041838,1.88087,#DIV/0!,25.43478,-27.770322,3.517635,6.824747,6.31,1.48,2.21,0.01,3.76,0.030531,21763.1,0.410628,21735.3,0.033137,9314.99,-0.784776,-43.074377,-42.904056,0.254348,-0.277703,-0.430743768,-0.429040556,15.99693941,-28.97,78.89089656,75.35,418.3278378,188.7222545,245.458766,233.4896775,275.1201028,362.2013911,191.5832822,348.4321841,103.4149139,148.1813577,0,3.60585955,6.360305715,8.648785838,9.726970332,5.226017291,5.794660495,8.399446395,7.237058557,9.528511502,1.728243098,0.3125481,0.2583021,0.242957,0.5708162,0.8267046,0.2276995,0.3274441,0.6909227,1.1173951,1.025310621,1.150197222,0.958134943,1.10872794,0.879568562,0.835991421,1.135536713,0.756191122,0.69266217,1.319975391,-40.49747867,139,-12.34470917,3.81473004,3.720560346,7.343029767,6.384148412,8.557279812,8.931184352,10.53226695,9.499415116,3.75430114,4.26834394,3.913565479,4.681346462,9.920929474,8.736775622,5.260704621,6.956845259,6.356874633,9.17745318,2.548095663,1.93041149
Apr-10,2010,4,4.601434,3.791099,6.24313,7.163273,0.76633,-1.2056,6.177806,4.661461,1.3958,1.662365,#DIV/0!,34.814847,58.473789,-0.285607,-0.790214,2,4.87,2.89,0.01,3.16,-0.054847,21800.9,0.173689,21740.3,0.023004,9263.91,-0.548363,25.43478,-27.770322,0.348148,0.584738,0.254347796,-0.277703221,27.46574464,44.06,106.3566412,119.41,429.5278035,201.4125515,265.4305153,253.6874693,285.2496874,371.4093906,209.2664914,370.7960391,106.5606279,150.968457,0,5.283125942,4.855040189,5.442753862,8.423976294,2.104173777,1.67472377,6.323346561,5.104323496,7.691739824,1.830363222,0.5543709,0.336638,0.2933959,2.7425195,-1.7432606,0.3401976,0.4508619,1.5057136,1.2642681,1.094242727,0.877445108,1.103522052,0.924170826,0.274038676,2.137597083,1.048281429,1.04225146,0.421658024,0.941713146,20.14824796,191,37.08978896,6.0355463,5.515728962,5.031505083,5.734267635,6.185435912,5.605176535,7.9678548,8.621625542,0.54079952,1.973442316,0.300717529,0.140680174,6.955564247,6.635206976,5.011563629,4.808401641,1.984325167,4.70600594,1.562021075,1.658701571
May-10,2010,5,-7.618868,-9.019485,-5.270971,-4.553721,-3.360984,-6.122866,-7.723333,-6.720048,-3.413302,-3.0742,#DIV/0!,50.773013,-26.404824,10.232199,19.45078,-7.89,0.09,-2.44,0.01,-0.25,-0.018028,21817.8,0.07752,21729,-0.051977,9553.06,3.121252,34.814847,58.473789,0.50773,-0.264048,0.348148466,0.58473789,54.0004713,-31.53,160.3571125,87.88,449.2922413,209.0483017,282.0016861,271.859796,287.4356422,366.9316786,222.19457,388.0805529,108.0480014,153.4781035,0,-7.197763198,-6.689646629,-4.269399523,-3.438353017,-2.624046797,-4.602890367,-6.437575216,-5.480441497,-3.259435004,-3.419333528,-0.233015,-0.3987263,-0.4615292,-0.6253154,-0.3432502,-0.2721202,-0.312747,-0.6157307,-0.6836494,0.797501011,1.508990032,1.177349234,0.453314658,0.698392471,1.139343448,1.087932948,1.068287444,1.100024346,0.681766862,-36.60671287,192,0.520868981,-6.09674324,-7.644809423,-7.950898217,-5.269019706,-5.876115576,-4.990970738,-1.765493333,-3.894631029,-2.26531469,-3.243612704,-6.068785829,-5.326564029,-8.057678558,-7.406411007,-7.272130793,-6.8072791,-7.208257467,-6.5528163,-2.0534203,-3.01190981
Jun-10,2010,6,-4.295285,-4.262545,-5.864691,-4.050604,-2.526364,-2.560893,-5.222014,-3.011617,0.386356,-1.337984,#DIV/0!,-16.907411,-0.512062,-6.971564,-12.202664,-5.57,-1.82,-4.7,0.01,-2.76,0.016368,21796.5,-0.097627,21719.9,-0.04188,9606.06,0.554796,50.773013,-26.404824,-0.169074,-0.005121,0.50773013,-0.264048237,-27.1122365,-0.45,133.244876,87.43,415.061258,190.1932224,267.1374601,259.4800592,277.7749762,344.464945,205.0337433,362.001354,104.3599966,148.7598796,0,-2.718722706,-3.411015026,-3.916777651,-4.122239491,-0.960710885,-2.08045728,-4.801671298,-2.477087642,-1.982038471,-1.363133802,-0.4930564,-0.3583607,-0.5188547,-0.8318971,-0.8206805,-0.4024645,-0.697856,5.4397369,-1.5707774,0.771562196,-0.024973083,1.167446046,0.923102839,0.503701094,1.173773385,0.947055403,1.667660394,0.33483729,0.973254123,-19.00535075,218,13.55486666,-3.34407778,-4.334164892,0.07646595,-3.061934771,-5.152253965,-4.413269448,-4.849086775,-5.253029858,-0.74525455,-1.47955714,-3.401953621,-2.8983053,-5.229356889,-5.521701128,-4.207482621,-2.522985276,-0.9253924,-2.76370771,-1.048275762,-1.0770833
Jul-10,2010,7,-0.837795,1.544685,-0.275736,-3.075283,1.327567,-0.951614,-0.396875,-0.420919,1.240034,3.569376,#DIV/0!,-23.845902,38.430745,28.061133,51.810611,6.93,0.22,-0.33,0.01,1.88,0.000606,21801.1,0.021104,21760.5,0.186925,9445.47,-1.671757,-16.907411,-0.512062,-0.238459,0.384307,-0.169074113,-0.005120619,-31.7734428,33.6,101.4714332,121.03,397.2331936,182.0861511,251.4706725,248.96955,270.7573679,335.6435648,194.3268521,351.0992586,104.7631975,146.7694964,0,-0.844995072,0.955373552,-0.561739224,-3.251897328,1.130774218,-2.189997846,-0.646220375,-0.279352166,-1.32629762,3.849485197,1.3605848,-7.6220552,-0.6834086,1.5831028,-2.2085373,-5.2955591,-4.9930628,1.6948527,0.5888074,-0.710287074,7.117987532,3.188485591,1.488924789,-1.026988221,0.721791462,1.222495094,1.223426482,6.028463622,1.097714397,14.85228049,199,-8.635521335,-0.69629202,0.980296623,2.467276867,0.346625624,-2.943971265,-0.923313335,-5.154977833,-3.462215065,-0.96140799,0.936143152,-1.823991721,-2.527034215,-0.582953632,-0.4768556,-1.135499864,-0.928130853,-0.3812571,-0.06324283,4.509533438,4.108111771
Aug-10,2010,8,1.820615,3.662254,2.197343,1.649696,1.044718,1.005047,-1.595428,-1.412943,6.002432,2.407425,#DIV/0!,15.854729,-31.413699,-18.168182,-35.399869,-4.77,-2.98,-1.93,0.01,-0.06,0.026506,21831.2,0.138066,21792.3,0.146136,9368.22,-0.817852,-23.845902,38.430745,0.158547,-0.314137,-0.238459022,0.384307446,16.0880203,-38.02,117.5594535,83.01,393.9051952,184.8988077,250.7772776,241.3130327,274.3518533,332.4495332,193.5556181,349.6214153,106.0622969,152.0082516,0,-0.897173198,2.604789221,1.389270161,2.718708258,0.405347701,0.155434183,-0.753889795,0.01410754,1.771944813,3.172878775,0.5738747,0.956462,1.2739771,2.0117151,2.0911211,-1.3173111,-1.487445,0.3501372,0.8729971,-6.553646707,0.909800219,0.790481467,0.110785069,8.529271305,0.833062711,2.288542676,0.816457894,1.121560073,0.736686724,-42.40418533,132,-33.67362992,3.05397058,-0.465995608,2.5212823,2.771248288,1.429647676,1.808578362,0.346224442,3.125190481,1.47869759,0.1733674,0.251587529,0.302003109,-1.732710053,-0.757123767,-1.627991971,-1.993969294,3.6953942,3.29486961,1.892068425,2.568348748
Sep-10,2010,9,1.757835,4.706942,3.456291,4.996364,2.888968,3.202248,2.421069,3.33279,5.474165,1.973695,#DIV/0!,10.697143,40.139742,23.649321,46.776632,9.54,3.97,-3.18,0.01,1.41,0.082454,21843.9,0.058174,21827.5,0.161525,9276.26,-0.981617,15.854729,-31.413699,0.106971,0.401397,0.158547286,-0.314136991,12.5755029,33.32,130.1349564,116.33,401.0766926,191.6702718,256.2877146,245.293964,277.2180565,335.7908074,190.4675775,344.6814625,112.4286139,155.6677369,0,0.641563485,4.799232339,3.844892442,6.619341658,2.490167371,3.225994646,2.972455862,5.749955428,6.283352222,2.037667051,0.4465054,0.6080724,0.4206409,0.727483,0.6563124,0.8680773,0.6306053,0.3839261,1.0648428,1.674088231,1.167052062,0.606354424,0.721644926,1.658955487,0.896184293,1.062240178,0.357536088,0.893256033,0.913231432,12.68279176,131,-0.559509447,1.75460232,1.048094292,5.5626823,4.766438859,2.423725476,3.997209188,4.627314433,6.412176219,3.99283775,2.406838388,2.641244536,2.947211368,2.821230095,2.655924859,1.545926007,4.323832079,3.327721633,3.72538389,1.6174982,1.771181043
Oct-10,2010,10,7.367299,5.464288,4.78001,5.594075,2.986682,3.680366,0.792981,6.936213,2.523674,1.716804,#DIV/0!,-14.519469,-17.175277,-10.278411,-17.124483,3.88,1.19,-2.51,0.01,1.58,-0.05002,21871.1,0.12452,21903.5,0.348185,9022.91,-2.731165,10.697143,40.139742,-0.145195,-0.171753,0.10697143,0.401397422,-18.8949051,-19.98,111.2400513,96.35,408.1269589,200.692081,265.1457637,257.5497444,285.226797,346.543662,195.0789296,356.1689717,118.5831423,158.7401425,0,8.248594611,5.375287149,5.603547047,7.042947119,2.954281654,4.923435088,3.50841573,6.616914231,5.278490766,1.919208955,0.3846201,0.43968,0.3756966,0.7036822,0.5710505,2.6503472,0.3030004,0.8327839,1.2241788,1.013657494,0.925104536,0.937497939,0.949913533,0.770157264,1.06548213,1.080458132,0.928635471,1.25246303,1.427686231,-26.37337017,155,18.33214222,8.41563118,8.302243338,4.915454583,5.313404476,5.232159206,5.58098209,6.25706875,6.58698769,1.74582036,2.266836192,4.720591243,4.430474347,3.467363226,3.209160191,6.5021905,7.001876088,7.509562233,5.99583545,1.591326438,1.114619167
