Date,Year,Month,EnvPU,CPU,EPU,Mkt_RF,SMB,HML,MOM,LIQ,CPI_SA,NBDI,SP500,Energy,Materials,Industrials,Consumer_Discretionary,Consumer_Staples,Health_Care,Financials,Information_Technology,Communication_Services,Utilities
Jan-10,2010,1,-39.13026979,-24.060682,26.262723,-3.36,0.4,0.43,-5.4,0.113783,0.064873,0.196946,1.189110071,2.101675,1.230287,2.213566,0.787054,-0.658523,2.093809,2.826713,1.003148,-4.286207,-1.570947
Feb-10,2010,2,0.908363657,-42.904056,-14.717041,3.4,1.19,3.23,3.74,0.031575,-0.095178,1.564686,-3.06338536,-4.43021,-5.927279,-1.925665,-0.68804,-0.007143,-2.16996,-3.767536,-4.71686,-5.190949,-4.793542
Mar-10,2010,3,-12.34470917,-27.770322,6.824747,6.31,1.48,2.21,3.76,0.030531,0.033137,-0.784776,5.763916364,2.667318,6.714325,8.126499,8.6404,3.671877,2.532232,9.220038,6.408424,3.031838,1.87087
Apr-10,2010,4,37.08978896,58.473789,-0.790214,2,4.87,2.89,3.16,-0.054847,0.023004,-0.548363,3.919271252,4.591434,3.781099,6.23313,7.153273,0.75633,-1.2156,6.167806,4.651461,1.3858,1.652365
May-10,2010,5,0.520868981,-26.404824,19.45078,-7.89,0.09,-2.44,-0.25,-0.018028,-0.051977,3.121252,-6.044544162,-7.628868,-9.029485,-5.280971,-4.563721,-3.370984,-6.132866,-7.733333,-6.730048,-3.423302,-3.0842
Jun-10,2010,6,13.55486666,-0.512062,-12.202664,-5.57,-1.82,-4.7,-2.76,0.016368,-0.04188,0.554796,-3.716764923,-4.305285,-4.272545,-5.874691,-4.060604,-2.536364,-2.570893,-5.232014,-3.021617,0.376356,-1.347984
Jul-10,2010,7,-8.635521335,38.430745,51.810611,6.93,0.22,-0.33,1.88,0.000606,0.186925,-1.671757,-0.3383836,-0.847795,1.534685,-0.285736,-3.085283,1.317567,-0.961614,-0.406875,-0.430919,1.230034,3.559376
Aug-10,2010,8,-33.67362992,-31.413699,-35.399869,-4.77,-2.98,-1.93,-0.06,0.026506,0.146136,-0.817852,0.682731808,1.810615,3.652254,2.187343,1.639696,1.034718,0.995047,-1.605428,-1.422943,5.992432,2.397425
Sep-10,2010,9,-0.559509447,40.139742,46.776632,9.54,3.97,-3.18,1.41,0.082454,0.161525,-0.981617,3.190591087,1.747835,4.696942,3.446291,4.986364,2.878968,3.192248,2.411069,3.32279,5.464165,1.963695
Oct-10,2010,10,18.33214222,-17.175277,-17.124483,3.88,1.19,-2.51,1.58,-0.05002,0.348185,-2.731165,4.401525802,7.357299,5.454288,4.77001,5.584075,2.976682,3.670366,0.782981,6.926213,2.513674,1.706804
Nov-10,2010,11,-9.126623111,48.510638,13.104903,0.6,3.74,-0.92,2.66,-0.00469,0.253384,0.310765,2.320617007,5.866657,3.448117,1.248348,4.482156,1.003614,-0.196655,1.558416,3.469316,0.412006,-1.79441
Dec-10,2010,12,38.90882584,-65.420365,-13.419989,6.82,0.69,3.76,-3.03,0.086931,0.401658,0.744673,3.546367243,6.398653,6.301116,5.524546,3.80027,1.587103,1.143251,4.991051,2.199347,3.086148,-0.384355
Jan-11,2011,1,-26.32991458,83.306386,-26.433288,1.99,-2.45,0.75,-0.29,-0.034922,0.324304,-1.17598,3.299917876,5.567279,2.612083,4.100041,1.104023,0.400035,2.277464,5.25212,4.076698,0.376757,2.079211
Feb-11,2011,2,-10.07034294,-29.151047,-6.216051,3.49,1.53,1.27,1.99,-0.0168,0.321448,-0.792909,2.991688755,7.715067,3.153077,4.28887,3.006186,0.250728,0.753336,2.747522,3.154796,-0.22928,0.135332
Mar-11,2011,3,32.95893317,65.748522,47.129155,0.46,2.56,-1.85,3.4,-0.015737,0.517355,-1.017375,-1.268952312,1.701224,-2.662036,-1.663311,-0.885568,0.287673,0.674028,-2.806734,-3.950492,0.156705,-0.569019
Apr-11,2011,4,-9.471629356,-17.988921,-18.847384,2.9,-0.33,-2.49,0.04,0.020155,0.46941,-1.769522,2.071196326,1.989259,3.979066,2.741573,2.493179,3.968495,4.232291,-0.455071,0.638206,4.706943,1.611798
